year,host,country,artist,song,all_languages,main_language,is_english_main_lang,lyrics_original,lyrics_english,stage_director,composers,lyricists,place,points,running_order,total_wins,won_last_year,top5_last_year,artist sexuality,bpm,tone,theme,emotion,top_3_words,points_jury_final,points_tele_final,place_sf,points_sf,place_contest,points_jury_sf,points_tele_sf,running_sf,sf_num,Albania Jury,Albania Televote,Armenia Jury,Armenia Televote,Australia Jury,Australia Televote,Austria Jury,Austria Televote,Azerbaijan Jury,Azerbaijan Televote,Belarus Jury,Belarus Televote,Belgium Jury,Belgium Televote,Bosnia & Herzegovina Jury,Bosnia & Herzegovina Televote,Bulgaria Jury,Bulgaria Televote,Croatia Jury,Croatia Televote,Cyprus Jury,Cyprus Televote,Czechia Jury,Czechia Televote,Denmark Jury,Denmark Televote,Estonia Jury,Estonia Televote,Finland Jury,Finland Televote,France Jury,France Televote,Georgia Jury,Georgia Televote,Germany Jury,Germany Televote,Greece Jury,Greece Televote,Hungary Jury,Hungary Televote,Iceland Jury,Iceland Televote,Ireland Jury,Ireland Televote,Israel Jury,Israel Televote,Italy Jury,Italy Televote,Latvia Jury,Latvia Televote,Lithuania Jury,Lithuania Televote,Malta Jury,Malta Televote,Moldova Jury,Moldova Televote,Montenegro Jury,Montenegro Televote,Netherlands Jury,Netherlands Televote,North MacedoniaN.Macedonia Jury,North MacedoniaN.Macedonia Televote,Norway Jury,Norway Televote,Poland Jury,Poland Televote,Portugal Jury,Portugal Televote,Romania Jury,Romania Televote,Russia Jury,Russia Televote,San Marino Jury,San Marino Televote,Serbia Jury,Serbia Televote,Slovenia Jury,Slovenia Televote,Spain Jury,Spain Televote,Sweden Jury,Sweden Televote,Switzerland Jury,Switzerland Televote,Ukraine Jury,Ukraine Televote,United Kingdom Jury,United Kingdom Televote
2020.0,Rotterdam,Germany,Ben Dolic,Violent Thing,English,English,1,"Got that thing that I can't deny Killing me soft with the big brown eyes Such a violent thing, would you let me know Knocking me down like a domino, oh  You know that I'm right here, I'm working on love I'm waiting on something I need I think that you, you know You know what I want You got me on the...","Got that thing that I can't deny Killing me soft with the big brown eyes Such a violent thing, would you let me know Knocking me down like a domino, oh  You know that I'm right here, I'm working on love I'm waiting on something I need I think that you, you know You know what I want You got me on the...",,,,,,,2,0,0,straight,,,love,"[{'label': 'fear', 'score': 0.4978189766407013}]","know, got, thing",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021.0,Rotterdam,Germany,Jendrik,I Don't Feel Hate,English & German,English & German,1,"I don't feel hate I just feel sorry You feel so very clever whenever you find another way to wear me down But I don't feel hate I just feel sorry So you can wiggle with that middle finger, it'll never wiggle back to you 'Cause I don't feel  Sorry  I really don't care, that you want to bash me Do it ...",Not available in English,Povilas Varvuolis,Christoph Oswald;Jendrik Sigwart,,25.0,3.0,15.0,2,0,0,Gay[68],,,change,"[{'label': 'neutral', 'score': 0.49628129601478577}]",,3.0,0.0,,,25.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022.0,Turin,Germany,Malik Harris,Rockstars,English,English,1,Look where we are We used to be the rockstars Who never thought of no harm 'Til this thing we call life stopped gleaming I wish there was a way to go back dreaming Remembering gets so hard When time is moving so fast Wish there was a way to know that we're in The good old days before we all just lea...,Look where we are We used to be the rockstars Who never thought of no harm 'Til this thing we call life stopped gleaming I wish there was a way to go back dreaming Remembering gets so hard When time is moving so fast Wish there was a way to know that we're in The good old days before we all just lea...,"Dan Shipton, Marvin Dietmann",Malik Harris;Marie Kobylka;Robin Karow,,25.0,6.0,13.0,2,0,0,straight,81.0,G major,dreams,"[{'label': 'neutral', 'score': 0.3977830410003662}]","wish, way, look",0.0,6.0,,,25.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
2023.0,Liverpool,Germany,Lord Of The Lost,Blood & Glitter,English,English,1,"Blood and glitter Sweet and bitter We're so happy we could die  Blood and glitter  What we are is but a choice A promise to ourselves We are free to break and change  Never forget? Let it go This or that? No need to know Whether above or below We are all from the same blood  Blood and glitter, sweet...","Blood and glitter Sweet and bitter We're so happy we could die  Blood and glitter  What we are is but a choice A promise to ourselves We are free to break and change  Never forget? Let it go This or that? No need to know Whether above or below We are all from the same blood  Blood and glitter, sweet...",Marvin Dietmann,Chris Harms;Rupert Keplinger,Anthony J. Brown;Chris Harms;Pi Stoffers;Rupert Keplinger,26.0,18.0,21.0,2,0,0,straight,,,sadness,"[{'label': 'joy', 'score': 0.8053715229034424}]","blood, glitter, sweet",3.0,15.0,,,26.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
2024.0,Malmö,Germany,Isaak,Always on the Run,English,English,1,I am nothing but the average Even though I'm special to some I can't refuse I'm going under No one gives a … about what's soon to come What's soon to come  I know my blessing with the privilege Of doing anything I want But I don't feel like getting stronger In my mind it's just a game that can't be ...,I am nothing but the average Even though I'm special to some I can't refuse I'm going under No one gives a … about what's soon to come What's soon to come  I know my blessing with the privilege Of doing anything I want But I don't feel like getting stronger In my mind it's just a game that can't be ...,"Dan Shipton, Marvin Dietmann",,,12.0,117.0,3.0,2,0,0,straight,,,change,"[{'label': 'joy', 'score': 0.3823619782924652}]","cant, whats, soon",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974.0,Brighton,Greece,Marinella,"Krassi, thalassa ke t' agori mou",Greek (Ellinika),Greek (Ellinika),0,La la la la la la la la la la la la la la la la… La la la la la la la la la la la la la la la la… La la la la la la la la la la la la la la la la… La la la la la la la la la la la la la la… La la la la la la la la la la la la la la…  Mes' sta stena ta pethia traguthun sto balkoni na vgo Fengaria rih...,"La la la la la la la la la la la la la la la la… La la la la la la la la la la la la la la la la… La la la la la la la la la la la la la la la la… La la la la la la la la la la la la la la… La la la la la la la la la la la la la la…  In the alleys children are singing, I come out on the balcony The ...",,,,11.0,7.0,5.0,0,0,0,straight,103.0,C major,youth,"[{'label': 'neutral', 'score': 0.3212449550628662}]","la…, alleys, children",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976.0,The Hague,Greece,Mariza Koch,"Panaghia mou, panaghia mou",Greek (Ellinika),Greek (Ellinika),0,"Kabos gematos portokalia, oi-oi mana m' Pu pera os pera aplonet' i elia Giro hrisizun t' akroyialia, oi-oi mana m' Ke se thaboni, thaboni i andilia  Sto topo afto otan tha pate, oi-oi mana m' Skines an thite, an thite sti sira The tha 'ne camping yia turistes, oi-oi mana m' Tha 'ne monaha, monaha pr...",Not available in English,,,,13.0,20.0,10.0,0,0,0,straight,163.0,G major,change,"[{'label': 'neutral', 'score': 0.49628129601478577}]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977.0,London,Greece,"Pascalis, Marianna, Robert & Bessy",Mathima solfez,Greek (Ellinika),Greek (Ellinika),0,"Imastan pethia, san mia sindrofia, tote Ke i musiki mas arese poli, tote Mathima solfez, giro ap' to palio piano Notes thinates, notes apales, piano  Avanti: ""Do fa fa fa"" ""Sol fa sol fa mi do si mi mi mi, do si do si sol si do"" ""Do fa fa fa (do si) sol fa sol fa mi do mi"" Ke ""do fa fa fa"" ""Sol fa s...","We were childen and good friends, back then And we liked music very much, back then Solfege lesson around the old piano Hard notes, soft notes, piano  Let's go: ""Do fa fa fa"" ""Sol fa sol fa mi do ti mi mi mi, do ti do ti sol ti do"" ""Do fa fa fa (do ti) sol fa sol fa mi do mi"" And ""do fa fa fa"" ""Sol ...",,,,5.0,92.0,10.0,0,0,0,straight,147.0,C minor,youth,"[{'label': 'joy', 'score': 0.5352563858032227}]","sol, back, piano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978.0,Paris,Greece,Tania Tsanaklidou,Charlie Chaplin,Greek (Ellinika),Greek (Ellinika),0,"Natos ki erhete apo ti gonia Kapelaki mavro asorti Stin pethiastiki mas agonia Taha o astinomos tha ton vri Kokino garifalo sto peto Bastunaki, smokin ke kaimos Athio apo tsigara to paketo Ki arhise na vrehi o uranos  Charlie Chaplin, ela st' oniro mas na yelasume Charlie Chaplin, apopse o, ti thume...","There he is, coming round the corner With a small black hat that suits In our childish anxiety The police inspector will most likely find him A red carnation on his lapel A small cane, suit and ambitious The packet of cigarettes is empty And the sky started to rain  Charlie Chaplin, come in our drea...",,Sakis Tsilikis,Yannis Xanthulis,8.0,66.0,15.0,0,0,1,straight,140.0,G major,youth,"[{'label': 'fear', 'score': 0.822312593460083}]","small, coming, round",66.0,,,,8.0,,,,,,,,,,,3.0,,,,,,0.0,,,,,,,,,,,,4.0,,,,5.0,,10.0,,,,0.0,,0.0,,,,,,7.0,,10.0,,2.0,,,,,,,,,,,,0.0,,,,0.0,,,,8.0,,,,,,,,,,,,7.0,,2.0,,4.0,,,,0.0,
1979.0,Jerusalem,Greece,Elpida,Socrati,Greek (Ellinika),Greek (Ellinika),0,"Theo… Theo… Theo… theo the se lene Keria… keria… keria… keria the su kene Ala ta lo… ta lo… ta loyia su kene Ki ako… ako… ako… akoma ta lene Socrati esi superstar  Agnos ke kalos, o protos Hristos Socrati esi superstar Me kapa zitianu yirnuses Ke st' aspra su yenia pulia  Triyiro laos ki esi ayio fo...","God… God… God… they never call you that Candles… candles… candles… they never light them for you But your words… words… they burn And still… still… still… they are quoted Socrates, you superstar  Pure and good, the first Christ Socrates, you superstar You went round in a beggar's clothing And there ...",,Doros Georgiadis,Sofia Tsotu,8.0,69.0,7.0,0,0,0,straight,137.0,F minor,betrayal,"[{'label': 'surprise', 'score': 0.5953310132026672}]","god…, candles…, still…",69.0,,,,8.0,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,1.0,,,,0.0,,4.0,,,,2.0,,0.0,,,,,,4.0,,10.0,,0.0,,,,,,,,,,,,7.0,,,,0.0,,,,10.0,,,,,,,,,,,,7.0,,2.0,,7.0,,,,0.0,
